,tipo_edicao,orgao,data_publicacao,url_versao_certificada,ementa
1520,Ordinária,Ministério da Justiça e Segurança Pública/Secretaria Nacional de Justiça/Departamento de Migrações/Coordenação-Geral de Política Migratória/Coordenação de Processos Migratórios,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=32,
1521,Ordinária,Ministério de Portos e Aeroportos/Agência Nacional de Aviação Civil/Superintendência de Infraestrutura Aeroportuária/Gerência de Certificação e Segurança Operacional,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=77,
1522,Ordinária,Ministério da Fazenda/Secretaria Especial da Receita Federal do Brasil/Subsecretaria-Geral da Receita Federal do Brasil/Superintendência Regional da Receita Federal do Brasil 9ª Região Fiscal/Delegacia da Receita Federal do Brasil em Curitiba,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=23,Concede coabilitação ao Regime Especial de Incentivos para o Desenvolvimento da Infra-Estrutura (Reidi) à pessoa jurídica que menciona.
1523,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica/Superintendência de Regulação Econômica e Estudos do Mercado,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=74,
1524,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1525,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1526,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1527,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1528,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1529,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica/Superintendência de Regulação Econômica e Estudos do Mercado,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=74,
1530,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1531,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Superintendência de Outorga de Títulos Minerários,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=75,
1532,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=73,
1533,Ordinária,"Ministério de Minas e Energia/Agência Nacional do Petróleo, Gás Natural e Biocombustíveis/Diretoria I/Superintendência de Distribuição e Logística",2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=76,
1534,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Superintendência de Outorga de Títulos Minerários,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=76,
1535,Ordinária,Ministério de Minas e Energia/Petróleo Brasileiro S.A.,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=76,
1536,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,
1537,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,
1538,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,
1539,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,
1540,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=37,
1541,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,
1542,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,
1543,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,
1544,Ordinária,Ministério do Meio Ambiente e Mudança do Clima/Agência Nacional de Águas e Saneamento Básico,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=37,
1545,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=39,"Atualização do Módulo 8 dos Procedimentos de Regulação Tarifária - PRORET, de forma a promover adequações nos cálculos tarifários e ajustar a regulamentação à implementação prática, após a Audiência Pública nº 63/2018, instituída com vistas a colher subsídios e informações adicionais para adequações e consolidação dos PRORET."
1546,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=37,
1547,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=37,
1548,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=37,
1549,Ordinária,Ministério de Minas e Energia/Agência Nacional de Energia Elétrica,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=38,Homologa o modelo do Formulário de Orçamento de Conexão de centrais de microgeração e minigeração distribuída e os valores de referência dos custos de investimento.
1550,Ordinária,Ministério da Justiça e Segurança Pública/Secretaria Nacional de Justiça/Departamento de Migrações/Coordenação-Geral de Política Migratória/Coordenação de Processos Migratórios,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=31,
1551,Ordinária,Ministério da Justiça e Segurança Pública/Secretaria Nacional de Justiça/Departamento de Migrações/Coordenação-Geral de Imigração Laboral,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=31,
1552,Ordinária,Ministério da Justiça e Segurança Pública/Secretaria Nacional de Justiça/Departamento de Migrações/Coordenação-Geral de Imigração Laboral,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=31,
1553,Ordinária,Ministério da Justiça e Segurança Pública/Polícia Federal/Diretoria de Polícia Administrativa/Coordenação-Geral de Controle de Serviços e Produtos,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=30,
1554,Ordinária,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=27,
1555,Ordinária,Ministério da Justiça e Segurança Pública/Secretaria Nacional de Justiça/Departamento de Migrações/Coordenação-Geral de Política Migratória/Coordenação de Processos Migratórios/Divisão de Naturalização,2023-02-10,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/02/2023&jornal=515&pagina=36,
